TEAM,LEAGUE,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Cleveland Guardians,AL,14,10,2.28,24,24,0,2,8,9,213.0,164,69,2.25,15,11,65,228,1.08,.210
Tampa Bay Rays,AL,13,13,2.72,26,26,0,3,9,11,224.2,173,71,2.6153846153846154,22,8,60,238,1.04,.208
Kansas City Royals,AL,11,13,2.75,24,24,0,5,7,9,215.2,165,74,2.75,17,10,69,228,1.09,.210
Atlanta Braves,NL,15,10,2.77,25,25,0,4,6,11,224.0,177,79,2.76,22,9,62,260,1.07,.214
San Diego Padres,NL,15,8,2.83,23,23,0,5,9,12,207.0,156,72,2.8260869565217392,23,12,61,203,1.05,.206
Detroit Tigers,AL,16,8,2.86,24,24,1,2,12,18,220.0,175,77,2.9166666666666665,21,6,54,190,1.04,.216
New York Yankees,AL,15,10,3.30,25,25,0,3,8,11,226.1,179,93,3.32,25,10,82,253,1.15,.217
New York Mets,NL,16,9,3.34,25,25,0,3,5,8,220.2,171,87,3.28,16,11,74,248,1.11,.213
Seattle Mariners,AL,16,9,3.35,25,25,1,2,4,7,223.0,171,87,3.32,30,5,55,236,1.01,.207
St. Louis Cardinals,NL,14,11,3.39,25,25,0,2,9,14,225.1,201,95,3.4,23,8,71,223,1.21,.238
Boston Red Sox,AL,11,14,3.57,25,25,0,0,6,9,222.0,199,97,3.52,21,10,83,196,1.27,.239
Cincinnati Reds,NL,12,12,3.57,24,24,1,4,9,10,209.0,185,89,3.4583333333333335,28,13,69,196,1.22,.235
San Francisco Giants,NL,12,12,3.61,24,24,0,4,7,8,214.2,197,92,3.5833333333333335,17,6,86,213,1.32,.239
Chicago Cubs,NL,12,13,3.72,25,25,0,4,7,11,222.1,199,95,3.68,33,2,80,178,1.25,.240
Milwaukee Brewers,NL,13,12,3.77,25,25,0,2,8,9,227.0,199,106,3.8,29,9,80,255,1.23,.232
Chicago White Sox,AL,10,14,3.77,24,24,0,2,3,9,212.1,196,102,3.7083333333333335,24,9,103,223,1.41,.246
Baltimore Orioles,AL,12,12,3.97,24,24,0,2,5,7,213.1,193,102,3.9166666666666665,31,3,73,213,1.25,.239
Houston Astros,AL,13,11,3.98,24,24,0,1,8,12,215.0,213,110,3.9583333333333335,30,9,64,226,1.29,.254
Toronto Blue Jays,AL,7,16,4.04,23,23,0,1,1,7,205.0,186,104,4.0,23,12,79,176,1.29,.243
Washington Nationals,NL,10,15,4.18,25,25,0,0,5,10,219.2,199,114,4.08,24,7,75,209,1.25,.240
Los Angeles Dodgers,NL,16,9,4.22,25,25,0,2,5,7,222.0,200,115,4.16,29,4,87,226,1.29,.240
Pittsburgh Pirates,NL,13,13,4.24,26,26,0,2,11,14,227.0,204,117,4.115384615384615,22,13,93,221,1.31,.239
Miami Marlins,NL,11,14,4.76,25,25,0,0,6,9,223.0,229,136,4.72,33,11,76,183,1.37,.262
Minnesota Twins,AL,8,18,4.78,26,26,0,0,5,8,233.2,252,134,4.769230769230769,31,12,81,270,1.43,.273
Los Angeles Angels,AL,6,19,4.78,25,25,0,1,2,5,220.1,231,135,4.68,38,10,95,193,1.48,.269
Oakland Athletics,AL,10,15,4.79,25,25,0,1,5,10,227.1,243,131,4.84,29,12,79,200,1.42,.272
Texas Rangers,AL,13,12,4.86,25,25,0,2,8,10,218.2,222,125,4.72,30,17,77,216,1.37,.258
Philadelphia Phillies,NL,14,11,4.87,25,25,0,0,6,7,216.1,232,122,4.68,31,8,78,219,1.43,.269
Colorado Rockies,NL,10,14,5.14,24,24,0,0,6,10,210.0,224,127,5.0,37,9,92,175,1.50,.276
Arizona Diamondbacks,NL,12,13,5.43,25,25,0,2,4,7,220.1,234,142,5.32,37,3,80,255,1.43,.268
